idAddresses,Country,City,Street,Appartment
109,DE,Moscow,Cedar 51,9666
110,ES,Boston,Pine 123,5994
111,ES,Saint Petersburg,Oak 134,2990
112,ES,Saint Petersburg,Oak 16,7898
113,DE,Boston,River 116,7317
114,DE,Lyon,Hill 179,9072
115,RU,Samara,River 180,7754
116,DE,Saint Petersburg,River 47,4459
117,SE,Novosibirsk,Park 70,9511
118,DE,Boston,Hill 197,1290
119,RU,Houston,Main 102,9013
120,CZ,Madrid,Oak 58,4062
121,FR,Los Angeles,Pine 151,9305
122,ES,Los Angeles,River 24,2446
123,ES,Paris,Sunset 98,7247
124,SE,Moscow,Cedar 98,1356
125,RU,Madrid,Oak 66,8124
126,RU,Saint Petersburg,Park 89,5925
127,RU,Berlin,Park 96,9904
128,ES,Ufa,Oak 165,2483
129,ES,Munich,Central 108,6788
130,FR,Los Angeles,Main 173,3927
131,DE,Paris,Sunset 169,9173
132,SE,Lyon,Cedar 57,2498
133,CZ,Los Angeles,Sunset 116,8592
134,PL,Yekaterinburg,Hill 136,4520
135,SE,Miami,Main 70,7952
136,DE,Miami,Cedar 12,9671
137,ES,Los Angeles,Main 129,9199
138,CZ,Boston,Central 63,8133
139,RU,Chicago,Oak 62,5475
140,NL,Phoenix,Green 170,5499
141,US,Miami,Park 141,8040
142,RU,Boston,Hill 137,7303
143,IT,Houston,Main 63,4249
144,US,Saint Petersburg,Main 24,317
145,IT,Ufa,Main 12,6487
146,DE,Boston,Green 137,8435
147,RU,Berlin,Sunset 3,4281
148,FR,Kazan,Park 1,4387
149,PL,Seattle,Central 156,945
150,IT,Houston,Pine 152,5521
151,NL,Miami,Main 95,4718
152,IT,Samara,Main 31,6907
153,ES,Boston,Park 75,4106
154,SE,Ufa,Oak 101,988
155,RU,Berlin,Cedar 153,8539
156,FR,Hamburg,Hill 33,193
157,PL,Berlin,Hill 96,4419
158,IT,Saint Petersburg,River 180,3840
159,NL,Munich,Hill 12,2831
160,CZ,Saint Petersburg,Pine 4,6895
161,PL,Saint Petersburg,Central 115,175
162,PL,Ufa,Oak 111,968
163,ES,Yekaterinburg,Central 137,1112
164,PL,Perm,Park 155,4745
165,DE,Madrid,Hill 119,7752
166,ES,Seattle,Main 138,6741
167,IT,Milan,River 31,1334
168,CZ,Saint Petersburg,Park 144,8315
169,PL,New York,Pine 117,2063
170,FR,Munich,River 135,5748
171,RU,Saint Petersburg,Hill 121,3750
172,RU,Novosibirsk,Central 2,735
173,DE,Los Angeles,Park 95,4493
174,SE,Seattle,Main 80,5436
175,US,Chicago,Sunset 5,3570
176,DE,Munich,Hill 42,7100
177,IT,Boston,Park 85,7557
178,DE,Houston,Main 94,117
179,DE,Perm,Main 179,6575
180,ES,Hamburg,Park 8,3058
181,RU,Kazan,Sunset 132,5210
182,FR,Miami,Green 95,9381
183,IT,Lyon,Pine 158,9161
184,IT,New York,Park 197,7353
185,SE,Boston,Hill 70,5793
186,IT,New York,Park 125,7761
187,IT,Berlin,Central 117,2154
188,NL,Barcelona,River 125,8569
189,SE,Moscow,Cedar 147,2855
190,CZ,Novosibirsk,Central 28,1915
191,FR,Phoenix,Park 115,1435
192,IT,Kazan,Main 30,7568
193,CZ,Phoenix,River 77,4292
194,RU,Houston,Cedar 71,1869
195,FR,Saint Petersburg,River 101,6612
196,FR,Novosibirsk,Hill 177,7863
197,NL,Paris,Central 153,8220
198,PL,Lyon,Oak 167,2682
199,IT,Ufa,Green 30,7321
200,FR,Berlin,Cedar 184,4536
201,CZ,Miami,Sunset 66,2685
202,RU,Madrid,Main 128,9856
203,FR,Ufa,Pine 88,4082
204,ES,Ufa,Sunset 106,9518
205,IT,Seattle,Main 192,2830
206,US,Paris,Main 134,1610
207,NL,Houston,Sunset 37,1409
208,FR,New York,Cedar 76,4047
209,RU,Miami,Central 140,8752
210,US,Saint Petersburg,Cedar 124,562
211,SE,New York,Oak 150,7585
212,DE,Houston,Oak 34,8526
213,FR,Yekaterinburg,Central 144,4645
214,FR,Boston,Pine 142,7915
215,RU,Madrid,Oak 5,4413
216,IT,Rome,Sunset 166,5530
217,PL,Phoenix,Central 74,4174
218,CZ,Milan,Main 7,7549
219,ES,Milan,River 87,1169
220,RU,Novosibirsk,Central 74,1062
221,PL,Rome,Oak 46,9767
222,DE,Novosibirsk,Hill 186,2427
223,SE,Barcelona,Pine 141,7070
224,FR,Yekaterinburg,Sunset 185,452
225,CZ,Lyon,Hill 156,9402
226,US,Chicago,Oak 161,2855
227,NL,Chicago,Hill 138,4599
228,SE,Ufa,Cedar 69,5891
229,CZ,Berlin,Central 199,4315
230,CZ,Seattle,Green 7,5654
231,ES,Boston,Pine 8,4622
232,FR,New York,Main 73,3064
233,FR,Phoenix,Hill 71,8359
234,DE,Ufa,Hill 162,2706
235,NL,Paris,Main 6,3797
236,NL,Barcelona,Hill 136,7160
237,PL,Lyon,Central 145,2328
238,FR,New York,Pine 3,5178
239,FR,Seattle,River 29,7032
240,DE,Chicago,Central 107,990
241,DE,Samara,Cedar 154,2865
242,DE,Seattle,Pine 42,228
243,RU,Rome,Park 184,6274
244,NL,Seattle,Main 22,2195
245,SE,Saint Petersburg,Oak 104,5276
246,PL,Samara,Sunset 3,3216
247,SE,Miami,Sunset 32,956
248,NL,Madrid,Park 144,8610
249,FR,Kazan,River 180,6576
250,CZ,Perm,Cedar 112,4157
251,ES,Los Angeles,Pine 84,7532
252,NL,Yekaterinburg,Main 76,5642
253,PL,Saint Petersburg,Green 53,5974
254,NL,Ufa,Hill 155,8615
255,ES,Houston,Park 185,9783
256,DE,Samara,Oak 29,8939
257,PL,Miami,River 53,1084
258,PL,Rome,Cedar 24,5341
259,RU,Seattle,Hill 6,5568
260,ES,Novosibirsk,Sunset 132,9785
261,NL,Seattle,Park 10,5839
262,IT,Novosibirsk,Sunset 91,3670
263,SE,Barcelona,Pine 165,8391
264,NL,Phoenix,Green 41,9069
265,RU,Moscow,Green 188,1618
266,ES,New York,Main 135,2493
267,RU,Seattle,Main 198,491
268,SE,Barcelona,Pine 148,1
269,PL,Paris,Oak 31,7122
270,FR,Yekaterinburg,River 52,1961
271,CZ,Chicago,Sunset 129,9506
272,IT,Houston,Hill 41,9107
273,PL,Lyon,Hill 62,7064
274,IT,Perm,Main 198,1294
275,PL,Houston,Hill 173,7548
276,PL,Berlin,Central 99,6822
277,NL,Phoenix,Hill 181,3599
278,FR,Miami,Oak 138,6192
279,CZ,Samara,Cedar 99,1927
280,ES,Novosibirsk,Central 138,3412
281,ES,Perm,Pine 167,6929
282,FR,Lyon,Hill 106,9521
283,ES,Moscow,Oak 100,136
284,US,Chicago,Main 69,9471
285,SE,Munich,Green 169,5996
286,RU,Chicago,River 13,6891
287,CZ,Seattle,Oak 30,9877
288,US,Paris,Hill 200,6583
289,US,Rome,Oak 122,7207
290,RU,Paris,Main 161,779
291,ES,Seattle,Central 58,5379
292,FR,Novosibirsk,Cedar 111,680
293,NL,Samara,Green 74,4152
294,DE,Barcelona,Main 108,7046
295,FR,Moscow,Central 105,9981
296,ES,Yekaterinburg,River 24,9454
297,CZ,New York,Park 34,8017
298,CZ,New York,Main 65,2099
299,IT,Los Angeles,Central 185,5276
300,IT,Moscow,Park 168,8194
301,DE,Berlin,Hill 186,9404
302,US,Seattle,Pine 97,5788
303,DE,Hamburg,Pine 113,8022
304,NL,Seattle,Park 145,3570
305,FR,Lyon,Central 87,710
306,FR,Berlin,Hill 32,3465
307,US,Berlin,Central 192,9524
308,US,Paris,Oak 175,115
309,RU,Samara,Pine 153,9812
310,RU,Miami,Pine 70,7195
311,RU,Boston,Park 58,7421
312,RU,Miami,Hill 151,4547
313,RU,Milan,Green 143,8408
314,IT,Ufa,Sunset 157,4436
315,NL,New York,Green 172,9386
316,ES,Yekaterinburg,Sunset 74,1214
317,IT,Lyon,Sunset 145,1169
318,FR,Moscow,Main 7,83
319,RU,Ufa,Main 126,8377
320,CZ,Berlin,Oak 141,5864
321,IT,Saint Petersburg,Sunset 136,4405
322,NL,Berlin,Oak 90,5156
323,ES,Kazan,Green 177,8973
324,RU,Phoenix,Hill 18,4351
325,PL,Milan,Pine 182,1891
326,US,New York,Park 148,5492
327,DE,New York,Cedar 133,9593
328,SE,Rome,River 20,8487
329,DE,Houston,Sunset 162,7557
330,CZ,Kazan,Main 7,4109
331,RU,Yekaterinburg,Main 180,9215
332,CZ,Chicago,Central 83,4688
333,SE,Lyon,Main 154,5891
334,IT,Rome,River 119,371
335,ES,Novosibirsk,River 32,3723
336,NL,Novosibirsk,Pine 196,5208
337,RU,Lyon,Main 161,1371
338,NL,Barcelona,Park 145,3774
339,FR,Rome,Hill 165,6180
340,RU,Boston,Pine 22,9653
341,RU,Berlin,Pine 166,505
342,US,Madrid,Oak 120,4761
343,IT,Kazan,Park 131,7002
344,IT,Los Angeles,Cedar 68,2556
345,IT,Houston,Central 37,1956
346,FR,Hamburg,Cedar 105,6466
347,US,Yekaterinburg,Pine 176,3177
348,DE,Perm,Central 169,4338
349,CZ,New York,Pine 78,4996
350,CZ,Chicago,River 3,9177
351,SE,Novosibirsk,River 156,3420
352,IT,Rome,Pine 140,7122
353,RU,Yekaterinburg,Cedar 194,4656
354,US,Boston,Sunset 54,5675
355,RU,Novosibirsk,Oak 55,4224
356,DE,Novosibirsk,River 54,3840
357,RU,Perm,Sunset 135,6619
358,NL,Houston,Central 90,1207
359,DE,Berlin,Park 35,4254
360,IT,Paris,Sunset 40,3616
361,IT,Perm,Main 47,2699
362,RU,Chicago,Park 108,7512
363,DE,Milan,River 123,7972
364,RU,Lyon,Green 130,3394
365,FR,Moscow,Hill 89,7789
366,SE,Moscow,Pine 100,6754
367,RU,Phoenix,Oak 85,5842
368,IT,Kazan,Sunset 155,7646
369,FR,Moscow,Oak 54,9229
370,SE,Lyon,Central 126,3645
371,IT,Yekaterinburg,Main 148,7929
372,CZ,Yekaterinburg,Sunset 88,857
373,PL,Madrid,Park 38,7163
374,IT,Milan,Pine 56,8790
375,US,Paris,Green 12,4986
376,RU,Kazan,Oak 195,867
377,PL,Milan,River 74,7075
378,FR,Chicago,Pine 101,4186
379,PL,Samara,Park 154,6205
380,US,New York,Main 159,8172
381,ES,Madrid,River 124,6853
382,NL,Miami,Main 81,503
383,RU,Yekaterinburg,Sunset 8,1594
384,DE,Hamburg,Central 107,6875
385,IT,Munich,Cedar 79,4496
386,FR,Novosibirsk,Hill 41,540
387,PL,Saint Petersburg,Pine 125,4914
388,FR,Lyon,Central 108,3682
389,DE,Hamburg,Oak 181,8579
390,IT,Houston,Central 98,7393
391,ES,Moscow,Hill 83,963
392,SE,Paris,Hill 93,4405
393,DE,Madrid,Main 67,4616
394,FR,Hamburg,Green 124,9352
395,US,Rome,Park 132,8835
396,ES,Kazan,Sunset 173,669
397,US,Munich,Pine 180,6100
398,FR,Kazan,Oak 189,7014
399,US,Madrid,Park 57,886
400,RU,Berlin,Sunset 82,2730
401,ES,Perm,River 32,547
402,NL,Milan,Cedar 10,7910
403,NL,New York,Sunset 106,3267
404,RU,Seattle,Oak 20,6113
405,IT,Perm,Pine 57,6674
406,RU,Seattle,River 133,2487
407,NL,Houston,Pine 190,5224
408,NL,Miami,Pine 88,8562
409,DE,Moscow,Oak 124,7284
410,RU,Rome,Oak 43,4982
411,ES,New York,Central 43,3383
412,FR,Milan,Green 100,5310
413,DE,Moscow,Cedar 21,6927
414,ES,Los Angeles,River 117,6060
415,RU,Barcelona,Oak 133,2032
416,RU,Saint Petersburg,Pine 75,1747
417,CZ,Samara,Sunset 143,4886
418,SE,Perm,Sunset 105,5487
419,NL,Phoenix,Pine 5,6139
420,NL,Boston,Park 79,390
421,PL,Lyon,Sunset 76,6980
422,US,Moscow,Main 36,7016
423,IT,Yekaterinburg,River 58,4586
424,FR,Milan,Hill 72,5281
425,FR,Perm,Main 4,4644
426,US,Yekaterinburg,Green 118,6485
427,IT,Ufa,Pine 78,9542
428,US,Munich,Park 86,8436
429,FR,Milan,Main 191,2938
430,ES,Novosibirsk,Green 122,2941
431,FR,Novosibirsk,Central 116,4473
432,DE,New York,Park 35,9001
433,CZ,Seattle,Main 69,491
434,PL,Munich,Park 45,6218
435,RU,Madrid,Sunset 33,5806
436,NL,New York,River 192,2779
437,PL,Berlin,Green 124,8850
438,IT,Lyon,River 18,5464
439,FR,Paris,Central 12,5551
440,NL,Rome,Sunset 53,5924
441,RU,Chicago,Park 134,9801
442,RU,Barcelona,Hill 52,1623
443,US,Hamburg,Central 130,2431
444,IT,Berlin,Cedar 162,6069
445,ES,Ufa,Main 57,7730
446,SE,Madrid,River 183,3332
447,PL,Rome,Pine 87,5920
448,DE,Moscow,Oak 149,5439
449,IT,Hamburg,Park 18,68
450,IT,Paris,Pine 21,6637
451,CZ,Barcelona,Oak 85,9061
452,PL,Milan,Hill 123,4173
453,DE,Los Angeles,Central 87,6151
454,IT,Munich,Green 27,9741
455,IT,Miami,Cedar 46,8883
456,NL,Barcelona,Park 95,2439
457,NL,Yekaterinburg,Sunset 136,9506
458,NL,Perm,Pine 103,6960
459,IT,Miami,Hill 167,9616
460,IT,Phoenix,Oak 68,8167
461,NL,Hamburg,Cedar 163,8801
462,DE,Berlin,Hill 108,5761
463,FR,Samara,Park 124,3193
464,NL,Kazan,Pine 161,5579
465,CZ,Munich,Park 128,1558
466,SE,Kazan,Sunset 171,710
467,CZ,Berlin,Green 30,2933
468,ES,Kazan,Pine 74,9323
469,RU,Barcelona,Sunset 76,9908
470,DE,Saint Petersburg,Green 88,8788
471,PL,Houston,Main 177,5385
472,IT,Berlin,Sunset 136,4297
473,IT,Miami,Green 166,3886
474,CZ,Saint Petersburg,Cedar 168,6638
475,FR,Lyon,Green 185,8079
476,DE,Saint Petersburg,Cedar 75,2741
477,FR,Moscow,Hill 171,2629
478,RU,Berlin,Central 75,1336
479,ES,Lyon,Main 99,345
480,US,Novosibirsk,Main 134,3797
481,IT,Novosibirsk,Main 182,7477
482,FR,Miami,Pine 45,9261
483,ES,Saint Petersburg,Pine 79,2463
484,ES,Moscow,Park 57,8685
485,SE,Phoenix,Green 97,1083
486,DE,Ufa,Central 164,4484
487,FR,Ufa,Oak 24,2106
488,ES,Berlin,Green 164,2069
489,DE,Los Angeles,Cedar 32,9794
490,FR,Novosibirsk,Park 32,282
491,PL,Novosibirsk,Central 33,5439
492,FR,Ufa,Oak 188,8159
493,IT,Chicago,Pine 168,304
494,FR,Munich,Oak 115,5761
495,ES,Seattle,Park 107,6892
496,US,Boston,Sunset 49,1374
497,DE,Hamburg,Oak 194,1505
498,PL,Ufa,Green 118,6079
499,US,Lyon,Cedar 23,671
500,SE,Munich,Hill 184,9174
501,NL,Kazan,River 138,5839
502,ES,Berlin,Oak 35,4945
503,US,Kazan,Hill 24,4207
504,CZ,Moscow,Park 94,1679
505,CZ,Perm,Oak 140,6924
506,IT,Houston,Green 69,8850
507,DE,Yekaterinburg,Central 164,7511
508,US,Seattle,Central 198,7656
509,DE,Miami,River 185,4701
510,ES,Kazan,Cedar 177,129
511,IT,Perm,Central 5,1843
512,ES,New York,River 22,9957
513,PL,Milan,Sunset 179,2044
514,RU,Samara,Hill 94,3550
515,PL,Ufa,Hill 172,1213
516,IT,Miami,River 156,6381
517,RU,Berlin,Green 102,3895
518,DE,Saint Petersburg,Cedar 32,4444
519,DE,Saint Petersburg,Oak 98,2544
520,FR,Ufa,Central 118,8765
521,SE,Perm,Park 148,2087
522,CZ,Perm,Green 56,4744
523,PL,Miami,Hill 190,6723
524,US,Samara,Green 183,9062
525,IT,Kazan,River 26,5563
526,IT,Hamburg,Cedar 136,2652
527,PL,Paris,Main 7,5707
528,PL,Yekaterinburg,Oak 155,8999
529,RU,Phoenix,Hill 15,9098
530,FR,Saint Petersburg,Oak 100,9460
531,IT,Rome,Main 74,4379
532,FR,Miami,River 159,5080
533,US,Kazan,Hill 117,7801
534,US,Perm,River 161,8511
535,SE,Phoenix,River 124,5391
536,DE,Milan,Hill 148,6336
537,SE,Miami,Sunset 121,197
538,CZ,Paris,Park 119,7896
539,FR,Moscow,Pine 178,9405
540,PL,Perm,Oak 200,2027
541,ES,Miami,Sunset 11,6255
542,PL,New York,Hill 56,5431
543,NL,Perm,Oak 126,8581
544,FR,Boston,Oak 40,3912
545,US,Miami,Cedar 30,1716
546,RU,Barcelona,Main 47,6958
547,CZ,Chicago,Hill 145,4029
548,NL,New York,Pine 117,2726
549,DE,Los Angeles,Cedar 8,272
550,CZ,Novosibirsk,Sunset 64,7416
551,SE,Rome,Pine 105,3913
552,NL,Novosibirsk,Main 104,7819
553,DE,Perm,Cedar 144,3496
554,RU,Barcelona,Sunset 141,504
555,DE,Novosibirsk,Central 85,7224
556,CZ,Saint Petersburg,Oak 41,7788
557,FR,Berlin,Oak 73,4446
558,CZ,Munich,Cedar 69,3863
559,PL,Boston,Oak 90,9070
560,DE,Novosibirsk,Pine 79,1755
561,ES,Lyon,River 30,3984
562,ES,Chicago,Main 190,7084
563,SE,Rome,River 177,4261
564,NL,Rome,Oak 186,7120
565,ES,Moscow,Cedar 125,6687
566,FR,Phoenix,Park 117,9391
567,NL,Rome,Green 3,4883
568,RU,Ufa,Park 145,2258
569,IT,Seattle,Cedar 81,4009
570,DE,Novosibirsk,Park 123,1289
571,FR,Rome,Green 151,250
572,ES,Seattle,Pine 70,1513
573,FR,Lyon,Central 135,2448
574,FR,Samara,Park 170,9989
575,NL,Rome,River 119,3492
576,DE,Houston,Central 138,6878
577,US,Samara,Park 14,972
578,NL,Boston,Park 172,5229
579,RU,Hamburg,Main 177,2655
580,US,Paris,Cedar 73,7032
581,RU,Novosibirsk,Main 120,9214
582,FR,Seattle,Sunset 45,3796
583,PL,Perm,Pine 198,7605
584,PL,Berlin,Hill 73,8889
585,DE,Miami,River 186,6693
586,PL,Phoenix,Central 109,9670
587,SE,Los Angeles,Main 9,7301
588,PL,Chicago,Central 52,6539
589,CZ,Rome,Park 144,7714
590,DE,Yekaterinburg,Sunset 118,820
591,PL,Miami,Hill 29,7132
592,CZ,Barcelona,Sunset 160,5374
593,PL,Barcelona,Cedar 107,4552
594,SE,Lyon,Hill 194,6956
595,DE,Houston,Sunset 15,4575
596,PL,Samara,Oak 141,5197
597,DE,Munich,Oak 182,4509
598,PL,Moscow,River 19,5972
599,NL,Seattle,River 108,52
600,NL,Houston,Cedar 50,7437
601,CZ,Barcelona,Main 47,7917
602,CZ,Barcelona,Park 113,8327
603,SE,Madrid,Park 162,6699
604,US,Novosibirsk,Sunset 12,5241
605,RU,Madrid,Main 58,5905
606,DE,Perm,Central 102,161
607,SE,Milan,River 163,6855
608,RU,Yekaterinburg,Park 157,1696
609,CZ,Houston,Green 55,3169
610,DE,Paris,Main 43,9640
611,RU,Kazan,Park 115,5291
612,CZ,Paris,Green 41,642
613,FR,Rome,Main 174,6687
614,DE,Madrid,Park 92,243
615,CZ,Hamburg,Pine 194,1636
616,NL,Phoenix,Sunset 84,4435
617,PL,Ufa,Hill 181,3985
618,SE,New York,Central 63,6360
619,CZ,Phoenix,Cedar 121,6193
620,ES,Lyon,Central 38,6608
621,ES,Miami,Pine 102,2495
622,FR,Samara,River 87,6263
623,PL,Moscow,Cedar 39,8608
624,RU,Barcelona,Main 155,6513
625,CZ,Kazan,Green 169,3824
626,CZ,Perm,Oak 92,2425
627,CZ,Paris,Hill 193,1675
628,RU,Milan,Main 118,3815
629,CZ,Hamburg,Pine 105,1306
630,ES,Ufa,Main 87,5636
631,US,Miami,Cedar 117,725
632,SE,Milan,Cedar 53,1623
633,PL,Paris,River 160,6249
634,ES,Seattle,Green 157,1816
635,CZ,Samara,Main 15,2848
636,CZ,Munich,Oak 141,3440
637,US,Kazan,Pine 193,6438
638,PL,Kazan,Pine 62,5187
639,FR,Barcelona,Sunset 127,4274
640,DE,Kazan,Park 176,4994
641,DE,Saint Petersburg,Green 98,9003
642,NL,Kazan,Pine 19,6375
643,ES,Seattle,Park 128,5706
644,RU,Los Angeles,Main 92,8371
645,SE,Yekaterinburg,Hill 114,2639
646,SE,Paris,Oak 52,3581
647,CZ,Samara,Oak 70,1170
648,US,Hamburg,Hill 41,4294
649,US,Perm,River 163,2898
650,ES,Saint Petersburg,Cedar 156,6881
651,IT,Miami,Cedar 160,854
652,CZ,Milan,Hill 17,4908
653,SE,Berlin,Park 197,3844
654,RU,Hamburg,Main 166,5008
655,CZ,Kazan,Pine 9,5972
656,RU,Barcelona,Cedar 100,6492
657,US,Chicago,River 188,700
658,RU,Yekaterinburg,Sunset 112,1437
659,RU,Paris,Oak 103,3871
660,PL,New York,River 181,6231
661,CZ,Munich,River 17,7148
662,PL,Perm,Sunset 143,3342
663,IT,Miami,River 157,8388
664,US,Houston,Hill 69,6360
665,NL,Los Angeles,Pine 79,7995
666,FR,Perm,Central 71,492
667,US,Houston,Pine 125,5632
668,US,Barcelona,Oak 103,8172
669,DE,Saint Petersburg,Hill 164,1092
670,IT,New York,Green 93,1760
671,IT,Houston,Cedar 95,9192
672,CZ,Milan,Pine 16,9550
673,CZ,Miami,Hill 79,4292
674,CZ,Perm,Green 109,6286
675,PL,Munich,Main 133,3135
676,NL,Barcelona,Park 160,5841
677,US,Boston,Pine 135,2103
678,RU,Novosibirsk,Main 90,7421
679,SE,New York,Central 117,8006
680,IT,Saint Petersburg,Central 112,9870
681,IT,Chicago,Main 106,8005
682,ES,Los Angeles,Sunset 124,2898
683,DE,Los Angeles,Cedar 55,1958
684,NL,Ufa,Main 67,8523
685,NL,Lyon,River 67,4332
686,ES,Hamburg,Cedar 23,79
687,US,Munich,Cedar 37,1066
688,ES,Chicago,Central 30,8724
689,RU,Munich,River 85,3560
690,NL,Miami,Green 101,1148
691,CZ,Barcelona,Park 142,5434
692,RU,Samara,Sunset 154,405
693,RU,Moscow,Central 110,4958
694,IT,Rome,River 50,8504
695,ES,Saint Petersburg,Park 24,4512
696,RU,Kazan,Hill 64,3706
697,PL,Ufa,Hill 131,6405
698,CZ,Rome,Oak 61,3928
699,NL,Novosibirsk,Central 3,1480
700,RU,Moscow,Oak 28,4548
701,FR,Ufa,Central 157,9004
702,FR,Miami,Cedar 137,325
703,SE,Munich,Cedar 188,4874
704,NL,Moscow,Oak 35,1499
705,SE,Seattle,Park 121,515
706,PL,Milan,Green 13,3857
707,ES,Berlin,Central 116,8274
708,ES,Samara,Cedar 99,2787
709,SE,Ufa,Main 61,8411
710,FR,Miami,Sunset 172,1449
711,ES,Kazan,Green 102,534
712,SE,Ufa,River 53,9241
713,CZ,Moscow,River 78,8575
714,FR,Los Angeles,Sunset 49,9800
715,RU,Berlin,Central 48,9646
716,US,Saint Petersburg,River 130,2450
717,FR,Phoenix,Green 166,2066
718,CZ,Samara,Hill 188,5729
719,DE,Rome,Oak 24,2056
720,US,Novosibirsk,Green 61,9460
721,RU,Milan,Park 89,2256
722,RU,Phoenix,Pine 1,7497
723,IT,Boston,Main 59,8233
724,RU,Paris,Oak 171,2779
725,PL,Miami,Hill 38,6190
726,FR,Boston,Main 193,6686
727,IT,Madrid,Central 20,4141
728,PL,Seattle,Green 166,2102
729,PL,Paris,Park 95,4288
730,NL,Houston,Sunset 134,1673
731,RU,Boston,Central 54,209
732,RU,Paris,Green 152,6229
733,RU,Saint Petersburg,Green 121,5970
734,CZ,Kazan,Pine 12,5801
735,FR,Houston,Park 58,3213
736,CZ,Los Angeles,Hill 87,3601
737,DE,Kazan,Central 195,231
738,DE,Madrid,River 26,3482
739,RU,Paris,Park 191,7401
740,FR,Los Angeles,Green 58,2230
741,IT,Chicago,Main 82,7923
742,DE,Miami,Cedar 90,268
743,NL,Seattle,Park 49,2906
744,NL,Samara,River 153,7313
745,PL,Yekaterinburg,Oak 191,2554
746,ES,Houston,Pine 92,6277
